regex,replacement
(^|\s|\p{Punct})([Pp][TtXx])(')?([Ss])?($|\s|\p{Punct}),"\1 patient\4 "
(^|\s|\p{Punct})([Hh][Xx])($|\s|\p{Punct}),"\1 history \3"
(^|\s|\p{Punct})([Oo]\/[Ss])($|\s|\p{Punct}),"\1 outside \3"
(^|\s|\p{Punct})([Tt][Xx])($|\s|\p{Punct}),"\1 transfer \3"
(^|\s|\p{Punct})([uU]/?[kK][Nn]?)($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})([uU][Nn]?/?[known])($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})([uU]/?[nN][kK]?)($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})(unkonwn)($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})(unknow)($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})([Nn]/?[Aa])($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})(unkwon)($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})(unknwon)($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})(unkwnon)($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})([Nn]/?[Kk])($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})(uknown)($|\s|\p{Punct}),"\1 unknown \3"
(^|\s|\p{Punct})([Aa][Vv][Ee]?)($|\s|\p{Punct}),"\1 Avenue \3"
(^|\s|\p{Punct})([Rr][Dd])($|\s|\p{Punct}),"\1 road \3"
@," at "
(^|\s|\p{Punct})([Dd][Vd])($|\s|\p{Punct}),"\1 domestic violence \3"
(^|\s|\p{Punct})([Nn][Ff][Aa])($|\s|\p{Punct}),"\1 no fixed abode \3"
(^|\s|\p{Punct})(MHU|mhu)($|\s|\p{Punct}),"\1 Mental Health Unit \3"
(^|\s|\p{Punct})([Mm][Hh])($|\s|\p{Punct}),"\1 mental health \3"
(^|\s|\p{Punct})([Rr][Tt][Aa])($|\s|\p{Punct}),"\1 road traffic accident \3"
(^|\s|\p{Punct})([Rr][Tt][Cc])($|\s|\p{Punct}),"\1 road traffic collision \3"
^[^\w\s]*," "
\p{Punct}," "
(^|\s|\p{Punct})(rfh)($|\s|\p{Punct}), "\1 royal free hospital \3"
(^|\s|\p{Punct})(cuh)($|\s|\p{Punct}), "\1 croydon university hospital \3"
(^|\s|\p{Punct})(kgh)($|\s|\p{Punct}), "\1 king george hospital \3"
(^|\s|\p{Punct})(nmuh)($|\s|\p{Punct}), "\1 north middlesex hospital \3"
(^|\s|\p{Punct})(nph)($|\s|\p{Punct}), "\1 northwick park hospital \3"
(^|\s|\p{Punct})(pruh)($|\s|\p{Punct}), "\1 princess royal university hospital \3"
(^|\s|\p{Punct})(qh)($|\s|\p{Punct}), "\1 queens hospital \3"
(^|\s|\p{Punct})(stg)($|\s|\p{Punct}), "\1 st georges hospital tooting \3"
(^|\s|\p{Punct})(rlh)($|\s|\p{Punct}), "\1 the royal london hospital \3"
(^|\s|\p{Punct})(wxh)($|\s|\p{Punct}), "\1 whipps cross university hospital \3"
(^|\s|\p{Punct})(nuh)($|\s|\p{Punct}), "\1 newham general hospital \3"
(^|\s|\p{Punct})(uclh)($|\s|\p{Punct}), "\1 university college hospital \3"
